model_name,pressure_gpa,mean_temp_k,std_temp_k,upper_bound_k,lower_bound_k
Model 1: Linear,150,2391.515151515152,148.60724701686675,2540.122398532019,2242.907904498285
Model 1: Linear,200,3346.0606060606065,496.2962917277707,3842.356897788377,2849.764314332836
Model 1: Linear,400,3366.787878787879,465.6316582220966,3832.4195370099756,2901.1562205657824
Model 1: Linear,600,3414.3030303030305,419.23934793145855,3833.542378234489,2995.0636823715718
Model 1: Linear,800,3511.3939393939395,365.1189775519688,3876.5129169459083,3146.2749618419707
Model 1: Linear,1000,3664.2424242424245,339.50431105777375,4003.7467353001985,3324.7381131846505
Model 2: Interaction,150,2200.242424242425,141.9732899516236,2342.2157141940484,2058.2691342908015
Model 2: Interaction,200,3233.8181818181815,552.2733250194213,3786.091506837603,2681.54485679876
Model 2: Interaction,400,3283.3939393939395,479.74979704904007,3763.1437364429794,2803.6441423448996
Model 2: Interaction,600,3378.0606060606065,387.99882612263616,3766.0594321832427,2990.06177993797
Model 2: Interaction,800,3520.121212121212,312.61964321250525,3832.7408553337173,3207.5015689087068
Model 2: Interaction,1000,3689.69696969697,276.6293247062207,3966.326294403191,3413.067644990749
Model 3: T-Quadratic,150,2229.3333333333335,173.7750675577,2403.1084008910334,2055.5582657756336
Model 3: T-Quadratic,200,3449.212121212121,555.596804345635,4004.808925557756,2893.615316866486
Model 3: T-Quadratic,400,3519.3939393939395,464.8808807011813,3984.274820095121,3054.513058692758
Model 3: T-Quadratic,600,3807.5151515151515,310.95707586466506,4118.472227379816,3496.5580756504864
Model 3: T-Quadratic,800,4238.909090909091,305.94138692142485,4544.850477830516,3932.967703987666
Model 3: T-Quadratic,1000,4703.878787878788,356.8508522648743,5060.729640143662,4347.0279356139135
Model 4: P-Quadratic,150,2392.6060606060605,149.1145090954371,2541.7205697014974,2243.4915515106236
Model 4: P-Quadratic,200,3340.9696969696975,495.9565578297779,3836.9262547994754,2845.0131391399195
Model 4: P-Quadratic,400,3508.4848484848485,349.9122282703378,3858.3970767551864,3158.5726202145106
Model 4: P-Quadratic,600,3678.909090909091,291.1690505152659,3970.078141424357,3387.740040393825
Model 4: P-Quadratic,800,3689.3333333333335,281.6332009395229,3970.9665342728563,3407.7001323938107
Model 4: P-Quadratic,1000,3690.1818181818185,281.04132744467336,3971.2231456264917,3409.1404907371452
Model 5: Full-Quadratic,150,2210.5454545454545,180.6154563348164,2391.160910880271,2029.9299982106381
Model 5: Full-Quadratic,200,3476.3636363636365,562.1368126561814,4038.500449019818,2914.226823707455
Model 5: Full-Quadratic,400,3952.7272727272725,246.50802731319706,4199.235300040469,3706.2192454140754
Model 5: Full-Quadratic,600,4453.333333333334,215.7235247219397,4669.056858055274,4237.609808611394
Model 5: Full-Quadratic,800,4575.636363636364,216.94934727660873,4792.585710912973,4358.687016359755
Model 5: Full-Quadratic,1000,4581.454545454546,220.3025217784136,4801.757067232959,4361.152023676133
Model 6: Full-Quad+Interact,150,2169.090909090909,163.68012882754815,2332.7710379184573,2005.410780263361
Model 6: Full-Quad+Interact,200,3435.3939393939395,583.1428858730532,4018.5368252669928,2852.251053520886
Model 6: Full-Quad+Interact,400,4048.3636363636365,227.97222455790669,4276.335860921543,3820.3914118057296
Model 6: Full-Quad+Interact,600,4608.484848484849,219.1426654153088,4827.627513900158,4389.34218306954
Model 6: Full-Quad+Interact,800,4715.636363636363,238.56885817689482,4954.205221813258,4477.0675054594685
Model 6: Full-Quad+Interact,1000,4716.121212121213,239.11486610396932,4955.236078225183,4477.006346017243
Model 7: Quad+1/T,150,2235.151515151515,197.66868980052553,2432.8202049520405,2037.4828253509895
Model 7: Quad+1/T,200,3465.212121212121,570.4090456320298,4035.621166844151,2894.803075580091
Model 7: Quad+1/T,400,4035.636363636364,230.9262381289359,4266.562601765299,3804.710125507428
Model 7: Quad+1/T,600,4508.121212121213,198.21558418678575,4706.336796307999,4309.905627934427
Model 7: Quad+1/T,800,4613.939393939394,190.6645860912509,4804.603980030645,4423.274807848143
Model 7: Quad+1/T,1000,4617.333333333334,190.99472826728834,4808.328061600622,4426.338605066046
Model 8: Full-Complex,150,2165.3333333333335,188.89282554100137,2354.226158874335,2000.0
Model 8: Full-Complex,200,3473.4545454545455,602.8602044246838,4076.3147498792296,2870.5943410298614
Model 8: Full-Complex,400,4104.0,209.72975746471346,4313.729757464714,3894.2702425352863
Model 8: Full-Complex,600,4624.848484848485,182.40209268530324,4807.250577533789,4442.446392163181
Model 8: Full-Complex,800,4708.363636363637,201.6156596014073,4909.979295965044,4506.74797676223
Model 8: Full-Complex,1000,4708.969696969697,202.01733735342665,4910.987034323123,4506.952359616271
