model_name,pressure_gpa,mean_temp_k,std_temp_k,upper_bound_k,lower_bound_k
Model 1: Linear,150,2954.4242424242425,278.36922452149395,3232.7934669457363,2676.0550179027487
Model 1: Linear,200,3738.909090909091,322.07509005876824,4060.984180967859,3416.834000850323
Model 1: Linear,400,3762.9090909090914,291.3396813298103,4054.248772238902,3471.569409579281
Model 1: Linear,600,3838.0606060606065,244.4492394554333,4082.5098455160396,3593.6113666051733
Model 1: Linear,800,3985.939393939394,228.6236697482262,4214.56306368762,3757.3157241911676
Model 1: Linear,1000,4190.424242424243,283.63271170920177,4474.056954133444,3906.791530715041
Model 2: Interaction,150,2973.6969696969695,279.7981956750799,3253.4951653720495,2693.8987740218895
Model 2: Interaction,200,3720.1212121212125,330.0893164601646,4050.210528581377,3390.031895661048
Model 2: Interaction,400,3743.878787878788,297.3215231937809,4041.200311072569,3446.557264685007
Model 2: Interaction,600,3802.666666666667,260.2143920767902,4062.8810587434573,3542.4522745898767
Model 2: Interaction,800,3912.2424242424245,251.14098492023044,4163.383409162655,3661.101439322194
Model 2: Interaction,1000,4062.424242424242,299.2313384981492,4361.655580922391,3763.1929039260926
Model 3: T-Quadratic,150,2747.7575757575755,339.86847777558205,3087.6260535331576,2407.8890979819935
Model 3: T-Quadratic,200,3701.575757575758,358.93027477319373,4060.5060323489515,3342.6454828025644
Model 3: T-Quadratic,400,3790.3030303030305,282.01296624679003,4072.3159965498207,3508.29006405624
Model 3: T-Quadratic,600,4107.757575757576,325.72426045286613,4433.481836210442,3782.03331530471
Model 3: T-Quadratic,800,4519.636363636363,474.04836381920927,4993.684727455572,4045.587999817154
Model 3: T-Quadratic,1000,4931.515151515152,605.8214679722192,5537.3366194873715,4325.693683542932
Model 4: P-Quadratic,150,2975.7575757575755,257.17258999907426,3232.93016575665,2718.5849857585013
Model 4: P-Quadratic,200,3680.242424242425,320.3293988744827,4000.5718231169076,3359.9130253679423
Model 4: P-Quadratic,400,3763.1515151515155,245.94067834245018,4009.0921934939656,3517.2108368090653
Model 4: P-Quadratic,600,3859.6363636363635,215.0630974958269,4074.69946113219,3644.573266140537
Model 4: P-Quadratic,800,3901.575757575758,213.6449514714921,4115.22070904725,3687.9308061042657
Model 4: P-Quadratic,1000,3937.212121212121,244.76674303105645,4181.978864243178,3692.4453781810644
Model 5: Full-Quadratic,150,2770.6666666666665,345.92920075870643,3116.595867425373,2424.73746590796
Model 5: Full-Quadratic,200,3681.6969696969695,365.7739997818832,4047.4709694788526,3315.9229699150865
Model 5: Full-Quadratic,400,3964.0,263.54344583399705,4227.543445833997,3700.456554166003
Model 5: Full-Quadratic,600,4382.30303030303,371.1998068458381,4753.502837148868,4011.103223457192
Model 5: Full-Quadratic,800,4554.30303030303,440.30494483306046,4994.60797513609,4113.99808546997
Model 5: Full-Quadratic,1000,4618.303030303031,485.5040870570789,5103.80711736011,4132.798943245952
Model 6: Full-Quad+Interact,150,2840.0,340.7570031120133,3180.757003112013,2499.242996887987
Model 6: Full-Quad+Interact,200,3732.727272727273,350.96037726437163,4083.687649991645,3381.766895462901
Model 6: Full-Quad+Interact,400,4346.666666666667,281.23824330085245,4627.904909967519,4065.4284233658145
Model 6: Full-Quad+Interact,600,4709.212121212121,394.4946948682012,5103.706816080322,4314.71742634392
Model 6: Full-Quad+Interact,800,4724.484848484849,403.52844130058,5128.013289785429,4320.956407184269
Model 6: Full-Quad+Interact,1000,4725.575757575758,403.2157969124054,5128.7915544881635,4322.3599606633525
Model 7: Quad+1/T,150,2858.545454545455,376.4726529274123,3235.018107472867,2482.072801618043
Model 7: Quad+1/T,200,3744.4848484848485,362.1451443847746,4106.6299928696235,3382.339704100074
Model 7: Quad+1/T,400,4196.363636363637,226.2676767113108,4422.631313074948,3970.095959652326
Model 7: Quad+1/T,600,4537.575757575758,293.5805369578181,4831.156294533576,4243.99522061794
Model 7: Quad+1/T,800,4620.969696969697,321.57488948928506,4942.544586458982,4299.394807480412
Model 7: Quad+1/T,1000,4640.121212121212,335.99027053122194,4976.111482652434,4304.1309415899905
Model 8: Full-Complex,150,2861.454545454545,342.06848776435953,3203.5230332189044,2519.3860576901857
Model 8: Full-Complex,200,3740.0,352.9432848926022,4092.943284892602,3387.056715107398
Model 8: Full-Complex,400,4341.575757575758,296.7562869554183,4638.3320445311765,4044.8194706203394
Model 8: Full-Complex,600,4741.818181818182,420.53095128864834,5162.349133106831,4321.287230529533
Model 8: Full-Complex,800,4765.212121212121,439.9938391755011,5205.205960387622,4325.21828203662
Model 8: Full-Complex,1000,4765.333333333333,440.07519183884096,5205.4085251721735,4325.2581414944925
