################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.4585023522643112E+00 a         1     0     1     1     1
 -9.3251099668732209E+00 a         2     0     1     1     2
 -6.4114197500940406E+00 a         3     0     1     1     3
 -1.4119945449945776E+01 a         4     0     1     1     4
  1.7238523824285668E+01 a         5     0     1     1     5
 -8.8624178483760048E+00 a         6     0     1     1     6
 -1.4991751864895193E+00 a         7     0     1     1     7
  4.0301441049937610E-02 a         8     0     1     1     8
  1.8737916532574423E+00 a         9     0     1     1     9
 -5.8532208634617362E+00 a        10     0     1     1    10
 -6.6432040502335283E+00 a        11     0     1     1    11
  1.0462621845890892E+00 a        12     0     1     1    12
 -1.1746632556523080E+00 a        13     0     1     1    13
 -2.5761589535489429E+00 a        14     0     1     1    14
 -8.5188789524286133E+00 a        15     0     1     1    15
 -5.8874825144717482E+00 a        16     0     1     1    16
 -3.9269884500574461E+00 a        17     0     1     1    17
 -1.3016813959512126E+01 a        18     0     1     1    18
 -9.5934630697798688E+00 a        19     0     1     1    19
  8.9630142549117338E+00 a        20     0     1     1    20
  5.7703212537862489E+00 a        21     0     2     1     1
  1.5014163264990065E+01 a        22     0     2     1     2
  7.3930657140710272E+00 a        23     0     2     1     3
  1.4320611961300997E+01 a        24     0     2     1     4
 -1.2786552543831386E+01 a        25     0     2     1     5
  1.8053741025469154E+00 a        26     0     2     1     6
  4.0287759938117729E+00 a        27     0     2     1     7
 -3.9345799526534169E+00 a        28     0     2     1     8
  1.2399594920454041E-01 a        29     0     2     1     9
  7.3330291697268351E+00 a        30     0     2     1    10
  4.0539701233879697E+00 a        31     0     2     1    11
 -3.4213421905681538E+00 a        32     0     2     1    12
  2.2996648229693721E+00 a        33     0     2     1    13
 -1.4718340247421458E+00 a        34     0     2     1    14
  9.7089090063182155E+00 a        35     0     2     1    15
  8.4863650855059483E+00 a        36     0     2     1    16
  4.1533113967362514E+00 a        37     0     2     1    17
  1.8241540979528079E+01 a        38     0     2     1    18
  1.4168898296062615E+01 a        39     0     2     1    19
 -5.6261871427796297E+00 a        40     0     2     1    20
 -1.7122541034855174E+00 a        41     0     3     1     1
  9.8941604163314145E-01 a        42     0     3     1     2
 -8.0411471294367960E+00 a        43     0     3     1     3
 -3.2758031545023965E+00 a        44     0     3     1     4
  6.4947373448575565E+00 a        45     0     3     1     5
 -2.4057488787984198E+00 a        46     0     3     1     6
 -4.4627059737920227E-01 a        47     0     3     1     7
  2.7471554379364003E+00 a        48     0     3     1     8
 -6.1394188718865772E-01 a        49     0     3     1     9
 -5.6233202637627819E+00 a        50     0     3     1    10
 -2.0733102609962502E+00 a        51     0     3     1    11
 -2.2892276168502698E-01 a        52     0     3     1    12
  5.0955744123493183E+00 a        53     0     3     1    13
  2.8225489932133065E+00 a        54     0     3     1    14
 -6.6883275432506188E+00 a        55     0     3     1    15
 -2.6836385219010739E-01 a        56     0     3     1    16
  7.3551024364036710E-01 a        57     0     3     1    17
 -2.6940032496053226E+00 a        58     0     3     1    18
 -3.1639060568440147E+00 a        59     0     3     1    19
 -1.3433038762946732E+00 a        60     0     3     1    20
  1.9163061281600442E+00 a        61     0     4     1     1
 -1.0221817729135994E+00 a        62     0     4     1     2
  8.8316955645147051E+00 a        63     0     4     1     3
  4.8754928473830859E+00 a        64     0     4     1     4
 -9.2688347823000274E+00 a        65     0     4     1     5
  4.2119369263430322E+00 a        66     0     4     1     6
  6.9383190986055909E-01 a        67     0     4     1     7
 -2.8226332187550254E+00 a        68     0     4     1     8
  8.2172477991985293E-01 a        69     0     4     1     9
  5.3903121145018096E+00 a        70     0     4     1    10
  2.6057129601596865E+00 a        71     0     4     1    11
 -5.9743664123195733E-02 a        72     0     4     1    12
 -7.0076185592769384E+00 a        73     0     4     1    13
 -2.1727230051153610E+00 a        74     0     4     1    14
  8.3233343418615089E+00 a        75     0     4     1    15
  9.7399092963511280E-01 a        76     0     4     1    16
 -7.2411456541672448E-01 a        77     0     4     1    17
  3.1016188126220263E+00 a        78     0     4     1    18
  3.2329942405610339E+00 a        79     0     4     1    19
  5.7042812580760174E-02 a        80     0     4     1    20
 -1.8832417122824721E+00 a        81     0     5     1     1
 -4.0370926613424043E+00 a        82     0     5     1     2
 -1.8786649121037915E+00 a        83     0     5     1     3
 -1.6059452962141745E+00 a        84     0     5     1     4
  2.1032531821153455E+00 a        85     0     5     1     5
  2.8972329497999674E+00 a        86     0     5     1     6
 -4.8058771675771972E+00 a        87     0     5     1     7
  4.8142308889398611E-01 a        88     0     5     1     8
 -1.0606748689499321E+00 a        89     0     5     1     9
  2.2936423274900788E-01 a        90     0     5     1    10
 -1.5900604250153707E+00 a        91     0     5     1    11
 -1.1642296419474780E+00 a        92     0     5     1    12
 -1.4226431399884487E+00 a        93     0     5     1    13
  4.1747616543873134E+00 a        94     0     5     1    14
 -2.6529091515223824E+00 a        95     0     5     1    15
 -8.9929562571136690E-01 a        96     0     5     1    16
  3.5983247990003409E+00 a        97     0     5     1    17
 -7.7645528434721500E+00 a        98     0     5     1    18
 -5.4954994807804649E+00 a        99     0     5     1    19
  4.6820382564603058E-01 a       100     0     5     1    20
 -3.3344561058367783E-01 a       101     0     6     1     1
  2.6704229145098757E+00 a       102     0     6     1     2
 -9.2874782318402060E-01 a       103     0     6     1     3
 -3.1885504702314122E+00 a       104     0     6     1     4
 -9.6856438328023287E-01 a       105     0     6     1     5
  3.3975934270861652E+00 a       106     0     6     1     6
 -8.0959969113823815E-01 a       107     0     6     1     7
 -2.5879869428192661E+00 a       108     0     6     1     8
 -2.0806466398909698E+00 a       109     0     6     1     9
  1.1459012789951579E+00 a       110     0     6     1    10
 -1.9416256958519831E+00 a       111     0     6     1    11
 -3.9239946035483664E-01 a       112     0     6     1    12
 -1.5471290297872804E+00 a       113     0     6     1    13
 -2.9026737181032427E+00 a       114     0     6     1    14
