################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5200191730693182E+00 a         1     0     1     1     1
 -1.2487476757929408E+00 a         2     0     1     1     2
  9.2557610730577181E-02 a         3     0     1     1     3
  1.2693901082657009E+00 a         4     0     1     1     4
  3.4349972622699104E-01 a         5     0     1     1     5
  1.0173804615642873E-01 a         6     0     1     1     6
 -2.2103701556622650E+00 a         7     0     1     1     7
  5.6502580564116389E-01 a         8     0     1     1     8
  2.6071348144436302E+00 a         9     0     1     1     9
 -4.6259703131550711E-01 a        10     0     1     1    10
 -1.4230853829684453E+00 a        11     0     1     1    11
 -2.1691499991893748E+00 a        12     0     1     1    12
 -1.2140256699198733E+00 a        13     0     1     1    13
  8.3323404319957217E-01 a        14     0     1     1    14
  5.1361771086173158E-01 a        15     0     1     1    15
  3.6165396658469595E-01 a        16     0     1     1    16
 -1.4180376562789774E+00 a        17     0     1     1    17
 -2.6517919957108851E+00 a        18     0     1     1    18
 -2.4502461292374758E+00 a        19     0     1     1    19
 -8.3708332538079200E-01 a        20     0     1     1    20
  1.5414696426208678E+00 a        21     0     2     1     1
  2.2420898567143381E+00 a        22     0     2     1     2
 -5.3459226765391976E-01 a        23     0     2     1     3
  5.7530438610912860E-01 a        24     0     2     1     4
 -4.1593082377838075E-01 a        25     0     2     1     5
  3.6442207328680443E-01 a        26     0     2     1     6
  1.8295871788129174E+00 a        27     0     2     1     7
 -3.2287999778778043E-01 a        28     0     2     1     8
  1.1258923695589305E+00 a        29     0     2     1     9
  9.6356487437879140E-02 a        30     0     2     1    10
  2.4080166076952421E+00 a        31     0     2     1    11
  1.1429758439886866E+00 a        32     0     2     1    12
  1.2334150642608500E-01 a        33     0     2     1    13
 -5.9260424931722644E-01 a        34     0     2     1    14
 -8.5421743236288872E-01 a        35     0     2     1    15
 -1.2188174581531706E+00 a        36     0     2     1    16
  5.6332222039558377E-01 a        37     0     2     1    17
  1.7976039078447070E-01 a        38     0     2     1    18
 -3.8285270625925055E-01 a        39     0     2     1    19
  6.9348757579959974E-01 a        40     0     2     1    20
  5.1667336019175898E-02 a        41     0     3     1     1
 -2.8890882644422122E+00 a        42     0     3     1     2
  1.8089466039175555E+00 a        43     0     3     1     3
  2.7644627958351292E-01 a        44     0     3     1     4
  6.2836064828658373E-03 a        45     0     3     1     5
 -2.0586883747010465E-01 a        46     0     3     1     6
 -1.8088751657471647E+00 a        47     0     3     1     7
  1.5974210895197571E+00 a        48     0     3     1     8
 -1.2899369865876507E+00 a        49     0     3     1     9
 -7.7304674517657979E-01 a        50     0     3     1    10
 -2.3794329472864555E+00 a        51     0     3     1    11
 -2.2950400293977684E+00 a        52     0     3     1    12
 -1.6010520213439547E+00 a        53     0     3     1    13
  6.0510039323181930E-01 a        54     0     3     1    14
  2.5140851882973294E+00 a        55     0     3     1    15
  1.4740396879042561E+00 a        56     0     3     1    16
 -1.2239758730052674E+00 a        57     0     3     1    17
  1.2331778175531186E-01 a        58     0     3     1    18
  1.3516398242369791E+00 a        59     0     3     1    19
 -1.9887621374644124E-01 a        60     0     3     1    20
  8.0625181863812589E-01 a        61     0     4     1     1
 -1.7056511250742645E-01 a        62     0     4     1     2
  1.0120973108932474E+00 a        63     0     4     1     3
 -1.0398912350551432E+00 a        64     0     4     1     4
 -8.8811427897090722E-01 a        65     0     4     1     5
 -7.8946551482509036E-02 a        66     0     4     1     6
  1.7787635310740963E+00 a        67     0     4     1     7
  9.4380298835016996E-01 a        68     0     4     1     8
 -2.0868657961576478E+00 a        69     0     4     1     9
 -3.1771229388544225E-01 a        70     0     4     1    10
  1.2691873198771841E+00 a        71     0     4     1    11
 -6.6313656439259194E-01 a        72     0     4     1    12
  1.0403869620893418E+00 a        73     0     4     1    13
 -3.9212955047639481E-01 a        74     0     4     1    14
 -2.1390114049311949E-02 a        75     0     4     1    15
 -1.2588701394636778E-01 a        76     0     4     1    16
 -4.2033247847368532E-02 a        77     0     4     1    17
  2.5880374976277176E+00 a        78     0     4     1    18
  4.5056069935456931E+00 a        79     0     4     1    19
  1.2983080229660340E+00 a        80     0     4     1    20
  7.3861714918404853E-01 a        81     0     5     1     1
 -3.5933021835729509E-02 a        82     0     5     1     2
 -9.6209747534296661E-02 a        83     0     5     1     3
 -2.7641705120896959E-01 a        84     0     5     1     4
  1.2230191725049882E+00 a        85     0     5     1     5
 -6.8245377181899569E-01 a        86     0     5     1     6
 -3.2492804628442694E-02 a        87     0     5     1     7
 -7.5564383128647095E-01 a        88     0     5     1     8
  8.8624629148648792E-01 a        89     0     5     1     9
  3.0397520932345534E-01 a        90     0     5     1    10
 -4.5310521663605491E-01 a        91     0     5     1    11
  1.2106082790822781E+00 a        92     0     5     1    12
 -4.9111006242163102E-01 a        93     0     5     1    13
 -4.2951700974010781E-01 a        94     0     5     1    14
  4.9306169290743850E-02 a        95     0     5     1    15
