################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.9374989462887050E-02 a         1     0     1     1     1
  3.3815809149539611E-01 a         2     0     1     1     2
 -1.0607634443307250E-01 a         3     0     1     1     3
  3.3406236964176572E-01 a         4     0     1     1     4
 -4.5412740348284952E-01 a         5     0     1     1     5
 -2.6900617850432912E-01 a         6     0     1     1     6
  8.3008694458220102E-03 a         7     0     1     1     7
 -3.0087843134476134E-03 a         8     0     1     1     8
  8.2257034182412300E-02 a         9     0     1     1     9
 -1.2691713247083750E-01 a        10     0     1     1    10
  6.3674051164915690E-01 a        11     0     1     1    11
  1.0675350276791820E-02 a        12     0     1     1    12
  3.3032141941308185E-01 a        13     0     1     1    13
 -5.5831915000474852E-02 a        14     0     1     1    14
 -7.1438366417525878E-02 a        15     0     1     1    15
 -1.1943001099441988E-01 a        16     0     1     1    16
 -1.6438405943457343E-01 a        17     0     1     1    17
  4.0436166278133057E-01 a        18     0     1     1    18
  1.5316616222752117E-02 a        19     0     1     1    19
 -3.2545047174439184E-01 a        20     0     1     1    20
  6.5018976170117260E-02 a        21     0     2     1     1
  2.7095428666817317E-01 a        22     0     2     1     2
  1.6656970921219655E-01 a        23     0     2     1     3
  1.6336046116669603E-01 a        24     0     2     1     4
 -5.2038078968015311E-01 a        25     0     2     1     5
  1.7030260325117272E-01 a        26     0     2     1     6
 -2.4897612827723833E-02 a        27     0     2     1     7
 -8.2793965713812145E-02 a        28     0     2     1     8
  2.7201814616293446E-01 a        29     0     2     1     9
 -1.7656818630578910E-01 a        30     0     2     1    10
  2.3483165566714118E-01 a        31     0     2     1    11
  8.2994032020786271E-02 a        32     0     2     1    12
 -8.5459600899176202E-02 a        33     0     2     1    13
 -3.1669783048178596E-01 a        34     0     2     1    14
 -3.0167847860287835E-02 a        35     0     2     1    15
 -2.4153713348550288E-01 a        36     0     2     1    16
 -2.2396558618769644E-01 a        37     0     2     1    17
  5.4892217509224524E-02 a        38     0     2     1    18
  2.7997433866670685E-01 a        39     0     2     1    19
 -4.2457818794011332E-01 a        40     0     2     1    20
 -9.2489778765164898E-02 a        41     0     3     1     1
 -1.2514480842881487E-01 a        42     0     3     1     2
  2.0458542137748706E-01 a        43     0     3     1     3
 -2.4027189650756695E-01 a        44     0     3     1     4
  4.3814171220037756E-01 a        45     0     3     1     5
 -3.0164064432137622E-01 a        46     0     3     1     6
  1.0542450954036674E-01 a        47     0     3     1     7
 -2.2109905832938073E-01 a        48     0     3     1     8
 -2.6523398096985346E-01 a        49     0     3     1     9
  3.4771985188756273E-02 a        50     0     3     1    10
 -4.1493651234547380E-01 a        51     0     3     1    11
 -9.7921375467978980E-02 a        52     0     3     1    12
 -1.3443894734438884E-02 a        53     0     3     1    13
  1.8023499786043989E-01 a        54     0     3     1    14
  1.0543016732759675E-02 a        55     0     3     1    15
  1.9717090930541512E-01 a        56     0     3     1    16
  2.2275998114301923E-01 a        57     0     3     1    17
 -2.6693313899780741E-01 a        58     0     3     1    18
  1.0849222016886514E-01 a        59     0     3     1    19
  1.6673097173947640E-01 a        60     0     3     1    20
  2.0892210560620011E-01 a        61     0     4     1     1
  4.6159810820757943E-02 a        62     0     4     1     2
 -4.2345125377544354E-02 a        63     0     4     1     3
 -1.8888520076603110E-01 a        64     0     4     1     4
  1.6512532962004367E-01 a        65     0     4     1     5
 -3.2620207963850062E-01 a        66     0     4     1     6
 -2.3915975793613120E-01 a        67     0     4     1     7
 -2.7053822832650332E-01 a        68     0     4     1     8
 -8.9564625423610877E-02 a        69     0     4     1     9
 -4.9267423829931600E-02 a        70     0     4     1    10
 -8.1421324170502588E-02 a        71     0     4     1    11
  1.9406777086413982E-01 a        72     0     4     1    12
  3.0666796898315041E-01 a        73     0     4     1    13
  3.6125467152573899E-02 a        74     0     4     1    14
  2.2819058239572945E-01 a        75     0     4     1    15
 -3.4801617249314337E-01 a        76     0     4     1    16
  5.5650602004950006E-02 a        77     0     4     1    17
 -1.3839753580317132E-01 a        78     0     4     1    18
  1.2425368176032603E-01 a        79     0     4     1    19
  3.0165178933939552E-01 a        80     0     4     1    20
 -3.1468648988667869E-01 a        81     0     5     1     1
 -3.7654692209816029E-02 a        82     0     5     1     2
 -1.1589408888104316E-01 a        83     0     5     1     3
 -6.4356110890906737E-01 a        84     0     5     1     4
 -4.3848049642462299E-02 a        85     0     5     1     5
  6.2796948374034589E-01 a        86     0     5     1     6
  2.1075142414354681E-01 a        87     0     5     1     7
  6.7461535712543175E-01 a        88     0     5     1     8
 -4.4447333110780202E-01 a        89     0     5     1     9
  1.1990124549187263E-01 a        90     0     5     1    10
  3.6069830367033473E-01 a        91     0     5     1    11
  2.0773882813232983E-01 a        92     0     5     1    12
 -4.6135304455815185E-01 a        93     0     5     1    13
 -7.7363977600747496E-03 a        94     0     5     1    14
  2.8516738410911996E-01 a        95     0     5     1    15
  5.6550079493532646E-01 a        96     0     5     1    16
 -2.6988257550156369E-01 a        97     0     5     1    17
 -5.8982827092313476E-03 a        98     0     5     1    18
  4.0590414292449334E-01 a        99     0     5     1    19
 -2.7781425209825594E-01 a       100     0     5     1    20
  2.0454435149398098E-02 a       101     0     6     1     1
  7.5058783952701644E-03 a       102     0     6     1     2
  4.7454320056586807E-01 a       103     0     6     1     3
 -8.3284006611371170E-03 a       104     0     6     1     4
  2.6775756496962899E-01 a       105     0     6     1     5
  1.1722410577530766E-01 a       106     0     6     1     6
  7.0884818495566992E-02 a       107     0     6     1     7
 -1.1096919852089686E-01 a       108     0     6     1     8
 -2.6942666378329200E-01 a       109     0     6     1     9
 -5.6904426055569265E-02 a       110     0     6     1    10
 -1.6089933905437184E-01 a       111     0     6     1    11
 -6.7753699120388774E-03 a       112     0     6     1    12
  1.2247438811391377E-01 a       113     0     6     1    13
 -4.1213981141047802E-02 a       114     0     6     1    14
  4.7391045141646083E-02 a       115     0     6     1    15
  1.4939258267734692E-01 a       116     0     6     1    16
  1.5013456356754087E-01 a       117     0     6     1    17
  1.7136437340143237E-02 a       118     0     6     1    18
  1.2644695654991668E-02 a       119     0     6     1    19
 -1.7269523834352171E-01 a       120     0     6     1    20
 -9.9239068904727985E-04 a       121     0     7     1     1
 -1.8072304426775171E-01 a       122     0     7     1     2
  8.0183885370787716E-02 a       123     0     7     1     3
 -1.5530397984428521E-01 a       124     0     7     1     4
  1.1460253240856395E-01 a       125     0     7     1     5
  6.8153814835660423E-02 a       126     0     7     1     6
 -1.1662376294137232E-02 a       127     0     7     1     7
 -2.7459822515720059E-02 a       128     0     7     1     8
  1.5501672424125332E-01 a       129     0     7     1     9
 -1.9098430069799374E-01 a       130     0     7     1    10
  2.7897192515558911E-01 a       131     0     7     1    11
 -2.4324401586439348E-01 a       132     0     7     1    12
  8.9779496046014956E-02 a       133     0     7     1    13
 -3.4880343885674507E-02 a       134     0     7     1    14
 -1.0945494866439363E-01 a       135     0     7     1    15
  4.1455687013014601E-02 a       136     0     7     1    16
 -1.0379037880463048E-01 a       137     0     7     1    17
  5.3008861314141162E-02 a       138     0     7     1    18
  1.7680567703476263E-01 a       139     0     7     1    19
 -8.2894068906501320E-02 a       140     0     7     1    20
  5.0066728579234519E-02 a       141     0     8     1     1
 -1.9503846630543022E-02 a       142     0     8     1     2
 -1.1583612959613457E-01 a       143     0     8     1     3
 -3.1098268456715056E-01 a       144     0     8     1     4
  1.1653444491611405E-01 a       145     0     8     1     5
  3.3957053487222832E-01 a       146     0     8     1     6
  1.6648204495821948E-03 a       147     0     8     1     7
 -1.1274173913380141E-01 a       148     0     8     1     8
 -5.8615693177502676E-02 a       149     0     8     1     9
 -7.6253008736119551E-02 a       150     0     8     1    10
 -2.4551072539476662E-01 a       151     0     8     1    11
  1.3511762300480051E-01 a       152     0     8     1    12
  2.0606379008976122E-01 a       153     0     8     1    13
  8.2435410799090988E-02 a       154     0     8     1    14
 -6.2725611543994308E-02 a       155     0     8     1    15
  5.3308605463942352E-03 a       156     0     8     1    16
  6.6153647341534477E-02 a       157     0     8     1    17
  1.0175658622400244E-01 a       158     0     8     1    18
  2.7833725556774058E-01 a       159     0     8     1    19
  3.0438254152047078E-01 a       160     0     8     1    20
 -6.8284838177763967E-03 a       161     0     9     1     1
 -2.6032604513841912E-01 a       162     0     9     1     2
 -8.1252925471568441E-02 a       163     0     9     1     3
  7.9117583455601492E-02 a       164     0     9     1     4
 -2.8651192922490093E-01 a       165     0     9     1     5
  6.0874220022206840E-02 a       166     0     9     1     6
 -1.5810276489672706E-01 a       167     0     9     1     7
 -2.5941855369740103E-02 a       168     0     9     1     8
 -2.6308802400012871E-01 a       169     0     9     1     9
  9.3316169013670704E-03 a       170     0     9     1    10
  2.6792356899298219E-02 a       171     0     9     1    11
 -2.9410180078537801E-01 a       172     0     9     1    12
 -9.9691311427743887E-03 a       173     0     9     1    13
  1.3045765225280537E-01 a       174     0     9     1    14
 -2.5836352907409083E-01 a       175     0     9     1    15
  2.2740108848356266E-02 a       176     0     9     1    16
  2.0779805917919147E-01 a       177     0     9     1    17
  4.8242691745752603E-02 a       178     0     9     1    18
 -7.8884842729610771E-02 a       179     0     9     1    19
  4.8624626379757362E-02 a       180     0     9     1    20
 -1.7726189541437849E-02 a       181     0    10     1     1
 -4.0564632570550272E-03 a       182     0    10     1     2
 -9.6177172208047654E-02 a       183     0    10     1     3
 -6.9782020050768959E-02 a       184     0    10     1     4
  1.5936086882047898E-01 a       185     0    10     1     5
 -5.8207820005270874E-02 a       186     0    10     1     6
  7.7754072772527388E-03 a       187     0    10     1     7
 -3.6144363407875045E-02 a       188     0    10     1     8
 -1.6438152787558141E-01 a       189     0    10     1     9
 -1.9662734928133288E-01 a       190     0    10     1    10
  6.7794972392793057E-02 a       191     0    10     1    11
 -3.2697926267657718E-02 a       192     0    10     1    12
  3.7844284579557741E-02 a       193     0    10     1    13
  1.4151218467369919E-01 a       194     0    10     1    14
 -1.2873342522262965E-01 a       195     0    10     1    15
 -5.2292304932303031E-02 a       196     0    10     1    16
 -6.0928048178446687E-02 a       197     0    10     1    17
 -2.0594619751895313E-01 a       198     0    10     1    18
  1.6238320203366499E-01 a       199     0    10     1    19
 -5.2422881961300780E-02 a       200     0    10     1    20
  7.6600408956318353E-02 a       201     0    11     1     1
  2.3430681633831937E-01 a       202     0    11     1     2
  2.7478452945176018E-01 a       203     0    11     1     3
 -7.4151808807794053E-02 a       204     0    11     1     4
  1.2294994439903482E-01 a       205     0    11     1     5
  7.7670628845104811E-02 a       206     0    11     1     6
  1.1070564944532933E-01 a       207     0    11     1     7
 -7.6487610778361081E-02 a       208     0    11     1     8
 -3.7048522203830848E-03 a       209     0    11     1     9
 -2.3710077120091913E-01 a       210     0    11     1    10
  1.2952065469404009E-02 a       211     0    11     1    11
 -3.2461780498867565E-01 a       212     0    11     1    12
  2.2279081100352341E-01 a       213     0    11     1    13
  1.0592799304985982E-01 a       214     0    11     1    14
 -2.3730941791315165E-02 a       215     0    11     1    15
  2.8133711565002018E-01 a       216     0    11     1    16
  3.3701116232300349E-01 a       217     0    11     1    17
  3.2914498022673278E-01 a       218     0    11     1    18
  3.1029888501593056E-01 a       219     0    11     1    19
  2.0726357873669796E-01 a       220     0    11     1    20
 -1.0278471521718363E-01 a       221     0    12     1     1
  2.1584684226719641E-01 a       222     0    12     1     2
  2.9273827991319717E-01 a       223     0    12     1     3
  2.3783171036950451E-01 a       224     0    12     1     4
  2.3311390651517802E-01 a       225     0    12     1     5
  1.6916351368850338E-01 a       226     0    12     1     6
  1.3141467596162262E-01 a       227     0    12     1     7
  1.7257118549681864E-02 a       228     0    12     1     8
 -1.3891555966056993E-01 a       229     0    12     1     9
 -3.9598483693971488E-02 a       230     0    12     1    10
  7.8911061320125278E-02 a       231     0    12     1    11
 -3.1391081957580655E-02 a       232     0    12     1    12
  1.6953643570973667E-01 a       233     0    12     1    13
 -8.6755822620301890E-02 a       234     0    12     1    14
 -1.1734691598680001E-01 a       235     0    12     1    15
  2.7887909447093456E-01 a       236     0    12     1    16
  8.3412942216362473E-02 a       237     0    12     1    17
 -9.4572759561496582E-04 a       238     0    12     1    18
  2.5882325666843153E-01 a       239     0    12     1    19
 -1.4024340008681005E-01 a       240     0    12     1    20
 -5.4332268331870763E-02 a       241     0    13     1     1
 -1.1063583545466418E-01 a       242     0    13     1     2
  1.2844079158740204E-01 a       243     0    13     1     3
 -1.3837804697360351E-01 a       244     0    13     1     4
 -8.2823287398235634E-02 a       245     0    13     1     5
 -6.7814447114936602E-02 a       246     0    13     1     6
  1.9438962906140578E-01 a       247     0    13     1     7
 -6.7477817402756227E-02 a       248     0    13     1     8
 -7.1396810199718289E-02 a       249     0    13     1     9
 -1.2494405273835628E-01 a       250     0    13     1    10
  2.0723306135189658E-02 a       251     0    13     1    11
 -2.3091480277382009E-01 a       252     0    13     1    12
 -1.5146070164850725E-01 a       253     0    13     1    13
 -2.5508979467503926E-02 a       254     0    13     1    14
 -1.0239603333008059E-02 a       255     0    13     1    15
  1.7315594871674778E-01 a       256     0    13     1    16
 -1.4625707338842475E-01 a       257     0    13     1    17
 -1.7106377794653863E-01 a       258     0    13     1    18
  1.7024125620803693E-01 a       259     0    13     1    19
  1.9281763446553798E-01 a       260     0    13     1    20
 -9.7736877296885280E-02 a       261     0    14     1     1
  1.7098039347510194E-01 a       262     0    14     1     2
  4.1357637908297391E-02 a       263     0    14     1     3
  3.6689277980125612E-02 a       264     0    14     1     4
  1.7573210010319437E-01 a       265     0    14     1     5
  3.9778133136016236E-01 a       266     0    14     1     6
 -3.2686838142252379E-02 a       267     0    14     1     7
  2.4155287279598817E-01 a       268     0    14     1     8
  2.6483671422832773E-02 a       269     0    14     1     9
 -1.4649063299451356E-01 a       270     0    14     1    10
 -1.4238189189151962E-01 a       271     0    14     1    11
 -4.1150751106596307E-02 a       272     0    14     1    12
  1.6765562596094924E-01 a       273     0    14     1    13
 -2.0366002731036206E-01 a       274     0    14     1    14
  9.4275177506973812E-02 a       275     0    14     1    15
  3.1623390436348014E-01 a       276     0    14     1    16
 -1.9661348392505082E-01 a       277     0    14     1    17
  7.8841176175757949E-02 a       278     0    14     1    18
  1.5775052290455419E-01 a       279     0    14     1    19
  1.5051071035213121E-01 a       280     0    14     1    20
 -2.3971469982118739E-02 a       281     0    15     1     1
 -6.4503907309745798E-02 a       282     0    15     1     2
  1.9049044687878117E-01 a       283     0    15     1     3
 -1.5722998432331628E-01 a       284     0    15     1     4
  2.9072117870636495E-02 a       285     0    15     1     5
 -1.8440671233700051E-01 a       286     0    15     1     6
  1.1217982306137153E-01 a       287     0    15     1     7
 -1.0567346402891037E-01 a       288     0    15     1     8
 -2.5120031512720259E-01 a       289     0    15     1     9
  5.1364423992200967E-02 a       290     0    15     1    10
  6.6162232105897126E-02 a       291     0    15     1    11
 -9.7926312811527777E-02 a       292     0    15     1    12
  1.4747228413274616E-01 a       293     0    15     1    13
  2.9520798869700776E-01 a       294     0    15     1    14
  3.9916444282146321E-03 a       295     0    15     1    15
 -6.5253402498639743E-02 a       296     0    15     1    16
 -9.8565892505085240E-02 a       297     0    15     1    17
 -3.0992074721075896E-01 a       298     0    15     1    18
  1.4253888647941690E-01 a       299     0    15     1    19
  5.6624731316187844E-02 a       300     0    15     1    20
  6.9558501235066517E-02 a       301     0    16     1     1
 -5.0583508780003161E-01 a       302     0    16     1     2
  1.0975279159833667E-01 a       303     0    16     1     3
 -2.8137674456371214E-01 a       304     0    16     1     4
  5.2555397744868233E-02 a       305     0    16     1     5
  1.0197264626282211E-01 a       306     0    16     1     6
  4.1201480764781931E-02 a       307     0    16     1     7
  1.1700827101825391E-01 a       308     0    16     1     8
  1.4136984491365864E-01 a       309     0    16     1     9
  6.5075384271186074E-02 a       310     0    16     1    10
  9.8567306716563340E-03 a       311     0    16     1    11
  1.9510819146003746E-02 a       312     0    16     1    12
  4.0034543072020701E-02 a       313     0    16     1    13
  2.6735876447299672E-01 a       314     0    16     1    14
 -2.5982949224268598E-02 a       315     0    16     1    15
 -1.4694606331624468E-01 a       316     0    16     1    16
  9.2040979295597292E-02 a       317     0    16     1    17
 -8.3849118687690169E-02 a       318     0    16     1    18
  3.3206105508839213E-02 a       319     0    16     1    19
  5.1631440424460266E-02 a       320     0    16     1    20
 -3.0324593880929659E-02 a       321     0    17     1     1
 -9.9531173307250715E-03 a       322     0    17     1     2
  8.9554812174099885E-02 a       323     0    17     1     3
  3.4748381175935877E-01 a       324     0    17     1     4
 -1.0320716967218098E-02 a       325     0    17     1     5
  1.2239461103326960E-01 a       326     0    17     1     6
 -1.3429478796238672E-01 a       327     0    17     1     7
  1.8211637087915598E-02 a       328     0    17     1     8
 -2.3272438428847370E-01 a       329     0    17     1     9
 -2.4251116971465272E-02 a       330     0    17     1    10
  2.4491820713882183E-02 a       331     0    17     1    11
 -1.3294758476377019E-01 a       332     0    17     1    12
  3.4331198417492166E-02 a       333     0    17     1    13
  3.7379425561574670E-02 a       334     0    17     1    14
 -6.7812916509661942E-03 a       335     0    17     1    15
  2.9773549397568549E-01 a       336     0    17     1    16
  7.2751559767994231E-02 a       337     0    17     1    17
 -1.9856839642720264E-01 a       338     0    17     1    18
  3.7328043214077367E-01 a       339     0    17     1    19
  1.6235520395872174E-01 a       340     0    17     1    20
 -4.3018494744173255E-02 a       341     0    18     1     1
  6.8337779752450284E-02 a       342     0    18     1     2
  4.3656152931595066E-01 a       343     0    18     1     3
  4.5159008792347174E-02 a       344     0    18     1     4
  3.2814255956417426E-01 a       345     0    18     1     5
 -1.9072624415683952E-02 a       346     0    18     1     6
 -1.2447720831049269E-01 a       347     0    18     1     7
 -9.8322137106356844E-02 a       348     0    18     1     8
  1.1507932668211406E-01 a       349     0    18     1     9
  1.9000230520068187E-01 a       350     0    18     1    10
  1.2332882145482484E-01 a       351     0    18     1    11
  1.1371213955882133E-01 a       352     0    18     1    12
 -1.3090157811475067E-01 a       353     0    18     1    13
  1.7690748287341285E-01 a       354     0    18     1    14
 -7.1213926856273146E-02 a       355     0    18     1    15
  9.0362393933682006E-02 a       356     0    18     1    16
 -1.5326936001875094E-01 a       357     0    18     1    17
  5.9882686689048580E-02 a       358     0    18     1    18
  6.8382321893325562E-02 a       359     0    18     1    19
  1.5511565092761176E-01 a       360     0    18     1    20
 -9.6048811206387419E-02 a       361     0    19     1     1
  1.2761738301887901E-03 a       362     0    19     1     2
  8.0093579007437118E-02 a       363     0    19     1     3
 -8.7300070885692950E-04 a       364     0    19     1     4
  1.4912815350236247E-01 a       365     0    19     1     5
  1.2340704871785410E-01 a       366     0    19     1     6
  9.6140171461763066E-04 a       367     0    19     1     7
 -1.4893595264394763E-01 a       368     0    19     1     8
 -5.0654460514991395E-02 a       369     0    19     1     9
 -2.5635976205349842E-01 a       370     0    19     1    10
  6.6015718931221545E-02 a       371     0    19     1    11
 -2.1361012326112705E-01 a       372     0    19     1    12
 -1.7946268457417691E-01 a       373     0    19     1    13
  1.8348714020337223E-01 a       374     0    19     1    14
  1.0966371916921604E-01 a       375     0    19     1    15
 -1.3845428747275623E-01 a       376     0    19     1    16
 -7.6799320817140096E-02 a       377     0    19     1    17
 -2.7523805848245712E-02 a       378     0    19     1    18
 -1.2732986835176321E-01 a       379     0    19     1    19
 -1.2074194764566974E-01 a       380     0    19     1    20
  1.1740716726659624E-01 a       381     0    20     1     1
  2.0261057141407757E-01 a       382     0    20     1     2
 -1.5458755926604803E-02 a       383     0    20     1     3
  9.9078742458055771E-02 a       384     0    20     1     4
  2.5745943328780264E-02 a       385     0    20     1     5
  1.1530972380680347E-01 a       386     0    20     1     6
  7.6581172618739021E-02 a       387     0    20     1     7
 -1.1692736126463389E-01 a       388     0    20     1     8
  1.8986527724056565E-01 a       389     0    20     1     9
 -8.1515398475912867E-02 a       390     0    20     1    10
 -9.4645381186590383E-02 a       391     0    20     1    11
 -1.4867358521991769E-01 a       392     0    20     1    12
  2.2474094439826833E-01 a       393     0    20     1    13
 -4.6344649693733871E-02 a       394     0    20     1    14
  1.9512425277527290E-01 a       395     0    20     1    15
  2.8239873955629091E-01 a       396     0    20     1    16
  1.6400444354455512E-01 a       397     0    20     1    17
  6.8183591304289665E-02 a       398     0    20     1    18
 -6.2455989834745484E-02 a       399     0    20     1    19
  9.1094575347493725E-02 a       400     0    20     1    20
 -7.2691668163284276E-02 a       401     0    21     1     1
 -5.5482390018664385E-01 a       402     0    21     1     2
 -2.9065823430720970E-02 a       403     0    21     1     3
 -1.9204784914689682E-01 a       404     0    21     1     4
 -2.2140084476530539E-01 a       405     0    21     1     5
  2.1237555427579813E-01 a       406     0    21     1     6
  2.2685776550202364E-02 a       407     0    21     1     7
  7.8482536497875427E-02 a       408     0    21     1     8
 -1.3228391729022798E-01 a       409     0    21     1     9
 -9.9402753463959034E-02 a       410     0    21     1    10
 -2.9036262026999896E-02 a       411     0    21     1    11
  3.2885803495736587E-01 a       412     0    21     1    12
 -1.9837066346155088E-01 a       413     0    21     1    13
  1.8221820565894012E-02 a       414     0    21     1    14
 -1.5141954625226808E-01 a       415     0    21     1    15
 -2.0500278238839459E-01 a       416     0    21     1    16
 -1.9183701264059930E-01 a       417     0    21     1    17
 -8.5023846706687889E-02 a       418     0    21     1    18
  1.5913514788843797E-01 a       419     0    21     1    19
  1.9308156876185850E-01 a       420     0    21     1    20
 -1.8717924563702143E-01 a       421     0    22     1     1
 -1.1669703101641473E-02 a       422     0    22     1     2
  8.8071557077441451E-02 a       423     0    22     1     3
 -2.1674486388674204E-02 a       424     0    22     1     4
  1.6121159991427561E-01 a       425     0    22     1     5
  1.5794562816611374E-01 a       426     0    22     1     6
 -9.5043881873157196E-02 a       427     0    22     1     7
 -2.3750135027752350E-01 a       428     0    22     1     8
  7.0691817203523494E-02 a       429     0    22     1     9
 -1.3560297309909564E-01 a       430     0    22     1    10
 -6.9009790547481992E-02 a       431     0    22     1    11
  1.5492401196381211E-01 a       432     0    22     1    12
 -1.1266461138354326E-01 a       433     0    22     1    13
  1.2087776998553010E-01 a       434     0    22     1    14
  4.9667674833290994E-02 a       435     0    22     1    15
  2.4364288151386074E-01 a       436     0    22     1    16
 -1.5989977582839841E-02 a       437     0    22     1    17
  3.0815668364995635E-01 a       438     0    22     1    18
  3.1552192380743810E-01 a       439     0    22     1    19
  2.8254264821476971E-01 a       440     0    22     1    20
 -5.2929187028176262E-02 a       441     0    23     1     1
 -1.1454768195626883E-02 a       442     0    23     1     2
  4.2557055371215256E-02 a       443     0    23     1     3
 -7.7736709599882919E-03 a       444     0    23     1     4
  5.4298743201949662E-02 a       445     0    23     1     5
 -6.4629296707808773E-02 a       446     0    23     1     6
 -7.8554768916375056E-02 a       447     0    23     1     7
 -2.6105963940976090E-01 a       448     0    23     1     8
 -1.1802222510200717E-01 a       449     0    23     1     9
 -1.8330392694083919E-01 a       450     0    23     1    10
 -2.7832392250954674E-01 a       451     0    23     1    11
 -1.4521625247714210E-02 a       452     0    23     1    12
  1.3782463948189105E-01 a       453     0    23     1    13
 -1.7399134928400012E-01 a       454     0    23     1    14
 -4.7496583215710576E-02 a       455     0    23     1    15
 -2.7361501390630813E-04 a       456     0    23     1    16
 -1.3292356694033644E-01 a       457     0    23     1    17
  1.3372572461958179E-01 a       458     0    23     1    18
  1.6692184186207926E-01 a       459     0    23     1    19
  3.4734928753337141E-02 a       460     0    23     1    20
  2.1896389009321765E-01 a       461     0    24     1     1
 -1.4574095518277166E-01 a       462     0    24     1     2
 -1.4144159463928471E-01 a       463     0    24     1     3
  6.2636587238559679E-02 a       464     0    24     1     4
 -7.7635121037053820E-02 a       465     0    24     1     5
  1.7135838304642528E-01 a       466     0    24     1     6
 -2.0925385675735757E-02 a       467     0    24     1     7
  1.8928490089211480E-01 a       468     0    24     1     8
  5.2132541055492823E-02 a       469     0    24     1     9
  4.6402891952629019E-02 a       470     0    24     1    10
  2.3066449439726661E-01 a       471     0    24     1    11
 -1.5534828905113668E-01 a       472     0    24     1    12
  1.3929445134375756E-01 a       473     0    24     1    13
  1.3940551873382334E-01 a       474     0    24     1    14
  7.2781560647983426E-02 a       475     0    24     1    15
  1.6307204023443297E-01 a       476     0    24     1    16
  4.9271022090843455E-02 a       477     0    24     1    17
  1.1636474902936805E-01 a       478     0    24     1    18
  2.2228157567450685E-01 a       479     0    24     1    19
  1.4533256920524407E-01 a       480     0    24     1    20
 -2.1856665654801610E-01 a       481     0    25     1     1
  8.4762115343783750E-02 a       482     0    25     1     2
  2.2756285556892261E-01 a       483     0    25     1     3
  5.9265099876498924E-02 a       484     0    25     1     4
 -3.1110509847869731E-02 a       485     0    25     1     5
 -8.6431450549264974E-02 a       486     0    25     1     6
 -1.2507179561287901E-01 a       487     0    25     1     7
 -1.9371221029755841E-02 a       488     0    25     1     8
 -1.4638359558067954E-01 a       489     0    25     1     9
 -3.8644807167345432E-02 a       490     0    25     1    10
 -1.4085284730225205E-02 a       491     0    25     1    11
 -1.6049540502474414E-02 a       492     0    25     1    12
 -1.2767088635067014E-01 a       493     0    25     1    13
  3.9300132060373971E-02 a       494     0    25     1    14
 -1.0588728289439125E-01 a       495     0    25     1    15
 -1.5919359361057994E-01 a       496     0    25     1    16
 -1.9643207166717813E-01 a       497     0    25     1    17
 -1.4216342421772613E-01 a       498     0    25     1    18
  1.2650484262380418E-01 a       499     0    25     1    19
 -7.0255596012066875E-03 a       500     0    25     1    20
  1.8641617413837996E-01 a       501     0    26     1     1
  1.6815336899485381E-01 a       502     0    26     1     2
  1.1689606306340884E-01 a       503     0    26     1     3
  1.2993809757370096E-03 a       504     0    26     1     4
 -1.6900128535069926E-02 a       505     0    26     1     5
  5.6710415394341143E-02 a       506     0    26     1     6
  1.0322246417571700E-01 a       507     0    26     1     7
  2.4331295097153576E-02 a       508     0    26     1     8
  6.8712985767084400E-02 a       509     0    26     1     9
 -2.3197813267083076E-01 a       510     0    26     1    10
  1.7513452513326552E-01 a       511     0    26     1    11
 -1.0071526142782283E-01 a       512     0    26     1    12
  7.0284411490453239E-02 a       513     0    26     1    13
  8.0132279585877469E-03 a       514     0    26     1    14
 -8.3792255512270694E-02 a       515     0    26     1    15
  6.8052045150883242E-02 a       516     0    26     1    16
