################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.2414780193235587E-01 a         1     0     1     1     1
 -5.6280206560341939E-01 a         2     0     1     1     2
  2.7473092575129587E-01 a         3     0     1     1     3
  1.7986783003933213E+00 a         4     0     1     1     4
  1.9442619554150492E-01 a         5     0     1     1     5
  1.0786199300750205E+00 a         6     0     1     1     6
  8.8651494829981314E-01 a         7     0     1     1     7
  1.1238382658862546E-01 a         8     0     1     1     8
  1.1073111854465935E-01 a         9     0     1     1     9
 -1.9013659296946991E-01 a        10     0     1     1    10
  9.6108055379234580E-01 a        11     0     1     1    11
 -1.0309860495613223E+00 a        12     0     1     1    12
 -1.6626223254511194E+00 a        13     0     1     1    13
  5.7183049863763580E-01 a        14     0     1     1    14
  1.1722892943242986E+00 a        15     0     1     1    15
 -6.1189329045376051E-01 a        16     0     1     1    16
  6.2498948305380897E-01 a        17     0     1     1    17
  6.8626907570714035E-01 a        18     0     1     1    18
 -1.4097886189398678E+00 a        19     0     1     1    19
  6.6371968172528595E-01 a        20     0     1     1    20
  1.5688742163933160E+00 a        21     0     2     1     1
  1.4930010440961088E+00 a        22     0     2     1     2
  9.1389141314215250E-01 a        23     0     2     1     3
 -1.1363090966256801E+00 a        24     0     2     1     4
 -3.1955700604806153E-01 a        25     0     2     1     5
 -5.8454230524114581E-01 a        26     0     2     1     6
 -5.4252563211709859E-01 a        27     0     2     1     7
  1.4140162554667233E+00 a        28     0     2     1     8
  7.8095882273842565E-01 a        29     0     2     1     9
 -2.5792934892543357E-01 a        30     0     2     1    10
 -2.8232343428553186E-01 a        31     0     2     1    11
  1.7273863452732521E+00 a        32     0     2     1    12
 -3.2186120038746366E-02 a        33     0     2     1    13
 -6.3855910009602057E-01 a        34     0     2     1    14
  4.8585976076976112E-01 a        35     0     2     1    15
  6.5176576484956306E-01 a        36     0     2     1    16
  9.3141521570293040E-02 a        37     0     2     1    17
  2.6778472251916801E-03 a        38     0     2     1    18
 -2.5828169283108249E-01 a        39     0     2     1    19
 -3.7362922671749027E-01 a        40     0     2     1    20
 -2.4574215230375890E-01 a        41     0     3     1     1
 -2.0512180096363299E+00 a        42     0     3     1     2
 -1.0903147681294011E-01 a        43     0     3     1     3
  1.3168120069365326E+00 a        44     0     3     1     4
  2.0340981099459993E-01 a        45     0     3     1     5
  1.4163406330782073E+00 a        46     0     3     1     6
  3.7917184324425429E-01 a        47     0     3     1     7
 -1.4109530762892761E+00 a        48     0     3     1     8
 -6.9474384589893579E-02 a        49     0     3     1     9
 -3.3348239849587130E-01 a        50     0     3     1    10
  5.2607819526936428E-01 a        51     0     3     1    11
 -2.5377129242423440E+00 a        52     0     3     1    12
 -1.5466661434958815E+00 a        53     0     3     1    13
  1.4594718646611923E-01 a        54     0     3     1    14
  1.1417570775718917E+00 a        55     0     3     1    15
 -7.1967597306131770E-01 a        56     0     3     1    16
 -3.7118094611846825E-01 a        57     0     3     1    17
  1.0199826099264878E-02 a        58     0     3     1    18
 -4.7944326425212194E-02 a        59     0     3     1    19
 -4.7652635794731663E-01 a        60     0     3     1    20
