################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   1.7021379116314549E+01   3.0352469307742469E+00   2.0532274091569516E+00
         1          2   0.0000000000000000E+00   1.5533776587005232E+01   2.7511294140159039E+00   1.8645767466167562E+00
         1          3   0.0000000000000000E+00   3.6484569440797586E+01   6.6564013753185369E+00   4.4929225310927068E+00
         1          4   0.0000000000000000E+00   3.2340359088625682E+01   5.8876156354437548E+00   3.9729104406197040E+00
         1          5   0.0000000000000000E+00   1.1121031975460458E+01   1.8983689756785549E+00   1.3033780995144417E+00
         1          6   0.0000000000000000E+00   1.0610583428062741E+00   2.7987720641471450E-02   6.8517567329651766E-02
         1          7   0.0000000000000000E+00   2.5278324271772328E+00   7.4923514185717952E-02   1.7874345831191885E-01
         1          8   0.0000000000000000E+00   6.4336233596329473E-01   2.0430747036239327E-02   4.9078580771909831E-02
         1          9   0.0000000000000000E+00   7.2105308395728221E-02   1.3431109550852084E-03   3.8852807032968974E-03
         1         10   0.0000000000000000E+00   5.0963905278059995E-02   8.1887088563189743E-04   2.5783361054444341E-03
         1         11   0.0000000000000000E+00   4.3633349512660247E-01   1.1886078612956839E-02   3.1438476049396598E-02
         1         12   0.0000000000000000E+00   1.0498347683925704E+00   2.7632176409455436E-02   6.7735883501498020E-02
         1         13   0.0000000000000000E+00   2.5012768089169941E+00   7.3976351020231160E-02   1.7671240457529833E-01
         1         14   0.0000000000000000E+00   6.3640638056080323E-01   2.0146589184577682E-02   4.8476233303418804E-02
         1         15   0.0000000000000000E+00   7.1346433834868078E-02   1.3241546500300959E-03   3.8366138618892345E-03
         1         16   0.0000000000000000E+00   1.3624633266771342E+00   4.0566485555925215E-02   9.8668293316645603E-02
         1         17   0.0000000000000000E+00   2.6255238925846636E-01   7.7940374117472519E-03   1.8912958429985499E-02
         1         18   0.0000000000000000E+00   8.8747612413367472E-01   2.2563864841249379E-02   5.6496160367180019E-02
