################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.7628344063690132E-01 a         1     0     1     1     1
 -5.9257201955490868E-01 a         2     0     1     1     2
 -2.6722050882562742E-01 a         3     0     1     1     3
  4.3987630588809562E-01 a         4     0     1     1     4
 -1.4588466742767575E-01 a         5     0     1     1     5
 -5.2931744462228902E-01 a         6     0     1     1     6
 -1.9432239739024446E-01 a         7     0     1     1     7
  2.7533016635796642E-01 a         8     0     1     1     8
 -2.9782626183248601E-01 a         9     0     1     1     9
 -2.8581729491771340E-01 a        10     0     1     1    10
 -1.1614738492189036E-01 a        11     0     1     1    11
  4.6159762624333656E-01 a        12     0     1     1    12
  1.5312521674101118E-01 a        13     0     1     1    13
 -4.2280577463143043E-01 a        14     0     1     1    14
  1.6744202696576990E-01 a        15     0     1     1    15
 -3.1277785983730400E-01 a        16     0     1     1    16
  2.2730275739163811E-02 a        17     0     1     1    17
  3.7108504809069132E-02 a        18     0     1     1    18
 -8.5451669989237464E-02 a        19     0     1     1    19
  2.4254690274954702E-01 a        20     0     1     1    20
  1.7556285035335586E-02 a        21     0     2     1     1
 -3.8483954075415994E-01 a        22     0     2     1     2
  1.8330654408179509E-01 a        23     0     2     1     3
 -7.8010738527393264E-02 a        24     0     2     1     4
  1.2143900480376607E-02 a        25     0     2     1     5
  4.9612416841436263E-01 a        26     0     2     1     6
  8.1946426458633800E-02 a        27     0     2     1     7
  6.3786220714605643E-02 a        28     0     2     1     8
  3.2357507718987527E-01 a        29     0     2     1     9
  7.4173170329783461E-02 a        30     0     2     1    10
 -3.4648949175884769E-01 a        31     0     2     1    11
 -1.4421014196915255E-01 a        32     0     2     1    12
 -4.2174641550991954E-01 a        33     0     2     1    13
 -2.3418985468678338E-03 a        34     0     2     1    14
 -2.6943880272565718E-01 a        35     0     2     1    15
  4.5361828607422466E-02 a        36     0     2     1    16
 -1.7757504560522441E-01 a        37     0     2     1    17
  2.3722200899031970E-01 a        38     0     2     1    18
  3.0776019826278894E-01 a        39     0     2     1    19
  2.5243347373673404E-02 a        40     0     2     1    20
  4.2015122592726217E-02 a        41     0     3     1     1
 -4.0440105855834158E-01 a        42     0     3     1     2
  3.4044751314963728E-01 a        43     0     3     1     3
 -4.1584677895252754E-02 a        44     0     3     1     4
 -8.8914404780238210E-02 a        45     0     3     1     5
 -3.6492224990265210E-01 a        46     0     3     1     6
  5.1502993917268126E-02 a        47     0     3     1     7
  3.4704338473682744E-01 a        48     0     3     1     8
 -5.7892333288746156E-01 a        49     0     3     1     9
 -1.3834608253074623E-01 a        50     0     3     1    10
  2.2612637230775456E-01 a        51     0     3     1    11
  3.6441162778227754E-01 a        52     0     3     1    12
 -2.4440927681753397E-01 a        53     0     3     1    13
 -5.9914294283498204E-01 a        54     0     3     1    14
  4.5307161349438851E-01 a        55     0     3     1    15
 -3.1216169944899907E-01 a        56     0     3     1    16
 -1.2037102445865631E-01 a        57     0     3     1    17
 -7.1883059143851724E-01 a        58     0     3     1    18
 -6.8477581244250477E-02 a        59     0     3     1    19
 -2.6795552498763801E-02 a        60     0     3     1    20
 -7.2152044644712268E-02 a        61     0     4     1     1
  5.5059656716974888E-02 a        62     0     4     1     2
  7.2788287824407039E-01 a        63     0     4     1     3
 -1.0756021532792842E-01 a        64     0     4     1     4
 -3.3332619769468991E-01 a        65     0     4     1     5
  4.5750940296534792E-01 a        66     0     4     1     6
  4.2072673962846657E-01 a        67     0     4     1     7
  3.1554927954169903E-03 a        68     0     4     1     8
  2.1935296911197139E-02 a        69     0     4     1     9
  1.5972524651243805E-01 a        70     0     4     1    10
 -3.9252709503433694E-02 a        71     0     4     1    11
  4.8661219300258723E-01 a        72     0     4     1    12
 -4.8336927226453519E-01 a        73     0     4     1    13
 -3.9612128875081021E-01 a        74     0     4     1    14
 -4.5771228064474911E-01 a        75     0     4     1    15
 -2.7185170170090833E-01 a        76     0     4     1    16
 -1.5060326669849747E-01 a        77     0     4     1    17
 -7.2059067294296619E-01 a        78     0     4     1    18
  3.4575120706215234E-01 a        79     0     4     1    19
 -2.0507575042498113E-02 a        80     0     4     1    20
 -1.4002415289176348E-02 a        81     0     5     1     1
  2.2100647354923425E-02 a        82     0     5     1     2
 -2.3539179082232919E-02 a        83     0     5     1     3
  5.8459653366195748E-02 a        84     0     5     1     4
 -1.6911228648170068E-01 a        85     0     5     1     5
 -4.8110512385380708E-02 a        86     0     5     1     6
 -6.4663516505817767E-02 a        87     0     5     1     7
 -1.0953191133622599E-01 a        88     0     5     1     8
  9.4263980254708737E-02 a        89     0     5     1     9
 -8.1264339937072910E-02 a        90     0     5     1    10
 -6.2072060344349048E-02 a        91     0     5     1    11
  5.0059495061801932E-03 a        92     0     5     1    12
  4.5039042461831255E-03 a        93     0     5     1    13
  5.7726946963132753E-01 a        94     0     5     1    14
 -4.6563017591592926E-02 a        95     0     5     1    15
  1.4748423279804088E-01 a        96     0     5     1    16
  1.2378927053716800E-01 a        97     0     5     1    17
  1.6474493177702543E-01 a        98     0     5     1    18
 -6.7386629049601313E-02 a        99     0     5     1    19
  1.7884869064909373E-01 a       100     0     5     1    20
 -5.0953171491180138E-01 a       101     0     6     1     1
 -2.6312374098042773E-01 a       102     0     6     1     2
  3.1669024431249476E-01 a       103     0     6     1     3
  2.0880358984578351E-01 a       104     0     6     1     4
 -8.5419033072843598E-02 a       105     0     6     1     5
  3.1497115194667963E-01 a       106     0     6     1     6
  2.0594371273930440E-01 a       107     0     6     1     7
 -3.1982455398348618E-02 a       108     0     6     1     8
  3.3585101996631395E-01 a       109     0     6     1     9
 -2.8787346495799796E-03 a       110     0     6     1    10
  3.3804400337510049E-01 a       111     0     6     1    11
  3.7719829356799051E-01 a       112     0     6     1    12
  1.8588961359699135E-01 a       113     0     6     1    13
  2.5649917062882033E-01 a       114     0     6     1    14
  3.9952347761565454E-01 a       115     0     6     1    15
  2.1261395848687048E-01 a       116     0     6     1    16
  7.0534735328419793E-02 a       117     0     6     1    17
 -3.1860049254075895E-01 a       118     0     6     1    18
  1.4199183009455446E-01 a       119     0     6     1    19
  2.7687589340705304E-01 a       120     0     6     1    20
 -1.5581692086329010E-01 a       121     0     7     1     1
 -3.4566655699245080E-02 a       122     0     7     1     2
  2.0255469200888723E-01 a       123     0     7     1     3
 -1.1046031024895789E-01 a       124     0     7     1     4
