################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.8819669260878973E+00 a         1     0     1     1     1
  3.6150506331185422E-01 a         2     0     1     1     2
 -9.8041679297364137E-01 a         3     0     1     1     3
 -1.4442139948524528E+00 a         4     0     1     1     4
 -1.3998848218347082E+00 a         5     0     1     1     5
 -1.0054090430124953E+00 a         6     0     1     1     6
  9.7158626486561717E-01 a         7     0     1     1     7
 -8.8975187720403714E-01 a         8     0     1     1     8
  3.8948619279069591E-01 a         9     0     1     1     9
 -2.7835383464396517E+00 a        10     0     1     1    10
  2.7361416673044886E-01 a        11     0     1     1    11
  1.2413094711636552E+00 a        12     0     1     1    12
  8.4670419885647108E-01 a        13     0     1     1    13
 -7.0385012118643941E-01 a        14     0     1     1    14
  1.3031374064390184E+00 a        15     0     1     1    15
 -1.9173997293089112E-01 a        16     0     1     1    16
  1.7818666011599820E+00 a        17     0     1     1    17
  1.3536946288389724E+00 a        18     0     1     1    18
 -1.1635696596800578E+00 a        19     0     1     1    19
  5.9070213175099684E-01 a        20     0     1     1    20
 -1.0497251293781826E+00 a        21     0     2     1     1
 -1.2057234972901766E-01 a        22     0     2     1     2
  9.5747350829071676E-01 a        23     0     2     1     3
  8.6838625454018847E-01 a        24     0     2     1     4
  1.7795937334575813E+00 a        25     0     2     1     5
  7.8430118583209407E-01 a        26     0     2     1     6
 -1.7871583037298175E-02 a        27     0     2     1     7
  2.1145263067986300E-01 a        28     0     2     1     8
 -9.0169002394779874E-02 a        29     0     2     1     9
  3.1350062670262244E+00 a        30     0     2     1    10
 -8.7634556939422148E-01 a        31     0     2     1    11
 -8.0189521857754642E-01 a        32     0     2     1    12
 -7.6217567779300210E-01 a        33     0     2     1    13
  1.3190591413426433E-01 a        34     0     2     1    14
 -4.7545473477348062E-02 a        35     0     2     1    15
 -1.5862523703159767E-01 a        36     0     2     1    16
 -1.3857482753667798E+00 a        37     0     2     1    17
  4.8046717262421429E-01 a        38     0     2     1    18
  1.3003049393972210E+00 a        39     0     2     1    19
  9.0011216265191551E-01 a        40     0     2     1    20
  1.0980853365054477E+00 a        41     0     3     1     1
  1.7867206607474359E-01 a        42     0     3     1     2
 -5.3906464117208419E-01 a        43     0     3     1     3
 -9.9120983381713734E-01 a        44     0     3     1     4
 -1.4801358194377430E+00 a        45     0     3     1     5
  2.7567742637516674E-02 a        46     0     3     1     6
  8.1242883002977073E-01 a        47     0     3     1     7
 -1.3558577204397488E+00 a        48     0     3     1     8
  4.6978614014651460E-01 a        49     0     3     1     9
 -5.1141249279981089E+00 a        50     0     3     1    10
  1.0096532689914954E+00 a        51     0     3     1    11
  1.2391118913294517E+00 a        52     0     3     1    12
  1.0728454227324269E+00 a        53     0     3     1    13
 -1.9767322015945601E-01 a        54     0     3     1    14
  6.4580762608015296E-01 a        55     0     3     1    15
  8.6828311466714728E-02 a        56     0     3     1    16
  1.7076779524910568E+00 a        57     0     3     1    17
  3.2006182029714608E-01 a        58     0     3     1    18
 -1.6118534593765306E+00 a        59     0     3     1    19
 -9.5184192039606164E-01 a        60     0     3     1    20
 -1.1553719925114510E+00 a        61     0     4     1     1
 -1.2128473615220352E+00 a        62     0     4     1     2
  5.0905322331488689E-01 a        63     0     4     1     3
  1.5004499850735362E+00 a        64     0     4     1     4
  5.7223092598783565E-01 a        65     0     4     1     5
  1.7685191367888982E+00 a        66     0     4     1     6
  2.2683765892527968E-01 a        67     0     4     1     7
 -9.3436773986185673E-01 a        68     0     4     1     8
  3.9377868312520881E-01 a        69     0     4     1     9
  4.5463196134397713E-02 a        70     0     4     1    10
 -4.7809876384219269E-01 a        71     0     4     1    11
 -5.5342316989762075E-01 a        72     0     4     1    12
  2.7294274620385922E-01 a        73     0     4     1    13
  4.5487803667360588E-01 a        74     0     4     1    14
 -7.5466687103699359E-01 a        75     0     4     1    15
  7.3457482488097625E-01 a        76     0     4     1    16
 -1.1785619091744615E+00 a        77     0     4     1    17
  5.4774834744302385E-02 a        78     0     4     1    18
 -7.1596518240599727E-01 a        79     0     4     1    19
  3.1322406273546599E-02 a        80     0     4     1    20
  3.8906621078640347E-01 a        81     0     5     1     1
 -9.4798541575850576E-02 a        82     0     5     1     2
  6.6302013703829196E-02 a        83     0     5     1     3
  2.2453220391273934E-01 a        84     0     5     1     4
  2.1825750818866960E-01 a        85     0     5     1     5
 -3.1835871636281216E-01 a        86     0     5     1     6
 -9.8126766600688309E-02 a        87     0     5     1     7
  8.0786639003142469E-01 a        88     0     5     1     8
 -4.1552746006348501E-01 a        89     0     5     1     9
  7.5322183081195915E-01 a        90     0     5     1    10
  3.3296092218129064E-01 a        91     0     5     1    11
  4.3197558506218710E-02 a        92     0     5     1    12
  1.3498307117732178E-01 a        93     0     5     1    13
 -1.7441747199894789E-01 a        94     0     5     1    14
 -2.8097541069422144E-01 a        95     0     5     1    15
  1.6017604452522838E-01 a        96     0     5     1    16
  2.5646606059856303E-01 a        97     0     5     1    17
 -5.4999593680010686E-02 a        98     0     5     1    18
  3.2523152987462062E-01 a        99     0     5     1    19
  3.5417913782918575E-01 a       100     0     5     1    20
  8.6428750975043253E-03 a       101     0     6     1     1
  6.4022452487171699E-01 a       102     0     6     1     2
 -1.0544750071802937E+00 a       103     0     6     1     3
  1.3139740319834030E+00 a       104     0     6     1     4
  8.5682890613406060E-01 a       105     0     6     1     5
  5.7275302065685951E-01 a       106     0     6     1     6
 -2.3814456326418690E-01 a       107     0     6     1     7
 -2.1040996024583145E+00 a       108     0     6     1     8
  1.2132537233659801E+00 a       109     0     6     1     9
  1.8342560476359904E+00 a       110     0     6     1    10
  2.4165974221642023E-01 a       111     0     6     1    11
  5.3753183955397588E-01 a       112     0     6     1    12
  2.0687335252141588E+00 a       113     0     6     1    13
 -4.0007077699976651E-01 a       114     0     6     1    14
  1.9218306817515626E-01 a       115     0     6     1    15
 -1.3536655181094035E+00 a       116     0     6     1    16
  9.7483226333471928E-01 a       117     0     6     1    17
 -1.7187414307931252E+00 a       118     0     6     1    18
 -3.7902631524137135E-03 a       119     0     6     1    19
 -2.7758756398308648E-01 a       120     0     6     1    20
 -1.1552314156900845E+00 a       121     0     7     1     1
  5.8327863344266595E-02 a       122     0     7     1     2
  4.9571934693118341E-01 a       123     0     7     1     3
  6.5775322624845214E-02 a       124     0     7     1     4
 -1.1497241083219762E+00 a       125     0     7     1     5
  1.1598820723500614E+00 a       126     0     7     1     6
  4.2444500256853285E-02 a       127     0     7     1     7
